show_id,type,title,date_added,release_year,rating,duration,description
s1792,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,"September 22, 2019",2009,TV-MA,121 min,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family."
s1801,Movie,Dolly Kitty Aur Woh Chamakte Sitare,"September 18, 2020",2020,TV-MA,120 min,"A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom."
s1808,Movie,Don,"December 15, 2019",2006,TV-14,169 min,"A ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naïve look-alike to infiltrate the man's gang."
s1809,Movie,Don 2,"December 15, 2019",2011,TV-14,148 min,"With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way."
s1828,Movie,Door Ke Darshan,"July 25, 2020",2020,TV-14,114 min,"When a matriarch wakes from a 30-year coma, her wacky family frantically recreates a bygone era to keep her from noticing how much time has passed."
s1830,Movie,Dorasaani,"November 20, 2019",2019,TV-14,134 min,A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.
s1832,Movie,Dostana,"April 1, 2020",2008,TV-14,142 min,"To win over a landlady who only accepts women as tenants, two men pose as a couple – but the jig may be up when they both fall for their flatmate."
s1878,Movie,Drishyam,"July 5, 2020",2015,TV-14,162 min,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.
s1879,Movie,Drive,"November 1, 2019",2019,TV-14,119 min,"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets."
s1893,Movie,Dum,"March 1, 2018",2003,TV-14,162 min,"When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice."
s1896,Movie,Duniya,"April 1, 2020",1984,TV-14,170 min,"A lawyer defends his childhood friend – and girlfriend's brother – in a murder case, unaware of his own deep connection to the attorney he’s up against."
s1897,Movie,Duplicate,"April 1, 2020",1998,TV-14,165 min,"Hilarious mix-ups and deadly encounters ensue when a convict seeks to escape authorities by assuming the identity of his doppelgänger, a perky chef."
s1916,Movie,Echcharikkai,"January 15, 2019",2018,TV-14,127 min,"After kidnapping a millionaire’s daughter, two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down."
s1928,Movie,Ee Nagaraniki Emaindi,"September 6, 2019",2018,TV-14,133 min,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
s1929,Movie,Eeda,"September 15, 2018",2018,TV-14,153 min,Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.
s1933,Movie,Eh Janam Tumhare Lekhe,"December 1, 2017",2015,TV-14,124 min,"Driven by the lessons he learned from his mother, and the values of the Sikh religion, a man sets out on a mission to serve humanity."
s1936,Movie,Ek Cup Chya,"March 15, 2018",2009,TV-PG,120 min,A poor bus conductor's efforts at obtaining information about his enormous electricity bill are hindered by a corrupt system.
s1937,Movie,Ek Hasina Thi,"August 1, 2019",2004,TV-MA,134 min,"Imprisoned for underworld crimes she didn’t commit, a vengeful woman breaks free and goes scorched earth on the smooth-talking suitor who framed her."
s1938,Movie,Ek Jaan Hain Hum,"September 1, 2017",1983,TV-14,151 min,"While trying to win over his beloved’s parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense."
s1939,Movie,Ek Khiladi Ek Haseena,"April 15, 2019",2005,TV-14,141 min,"Indebted to a gangster, a grifter assembles a band of fellow swindlers to attempt his biggest scam yet, but it's soon clear that no one can be trusted."
s1940,Movie,Ek Ladki Ko Dekha Toh Aisa Laga,"April 2, 2019",2019,TV-14,120 min,"As her family seeks to marry her off and a hopeful writer pursues her, a small-town woman struggles to reveal the long-hidden truth about who she loves."
s1941,Movie,Ek Main Aur Ekk Tu,"October 1, 2018",2012,TV-14,106 min,Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.
s1971,Movie,Elaan,"April 1, 2017",1971,TV-14,143 min,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
s1989,Movie,EMI: Liya Hai To Chukana Padega,"May 15, 2019",2008,TV-14,128 min,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
s2000,Movie,Encounter: The Killing,"December 31, 2019",2002,TV-14,151 min,"After accidentally killing a young mobster, a guilt-stricken police officer searches for the parents who never came forward to claim their son's body."
s2007,Movie,English Babu Desi Mem,"May 1, 2017",1996,TV-14,163 min,"After his brother dies, wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him."
s2043,Movie,Evening Shadows,"February 27, 2019",2018,TV-PG,102 min,"When her son comes out to her as gay, a religious mother struggles to reconcile his truth with her own beliefs and their orthodox family values."
s2055,Movie,Evvarikee Cheppoddu,"November 27, 2019",2019,TV-14,134 min,"When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry."
s2095,Movie,Fakta Ladh Mhana,"February 15, 2018",2011,TV-14,150 min,"A young man enlists the help of his friends to avenge his uncle's death by taking on a powerful, unscrupulous politician."
s2108,Movie,Famous in Ahmedabad,"December 15, 2016",2015,TV-14,29 min,Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at India’s biggest kite-flying festival.
s2112,Movie,Fandry,"January 1, 2018",2014,NR,102 min,"Spunky, lower-caste lad Jabya falls for lovely, upper-caste Shalu. But his family's derided social position proves a stubborn stumbling block to love."
s2120,Movie,Fashion,"August 2, 2018",2008,TV-MA,158 min,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.
s2134,Movie,Fatso,"February 15, 2019",2012,TV-14,97 min,"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend."
s2150,Movie,Ferrari Ki Sawaari,"August 1, 2019",2012,TV-PG,133 min,A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.
s2152,Movie,Fida,"October 13, 2020",2004,TV-14,117 min,An all-around nice guy finds himself in a dangerous situation after he makes the ultimate sacrifice for the woman he loves in this drama.
s2174,Movie,Fire in the Blood,"May 13, 2020",2012,TV-14,83 min,Dylan Mohan Gray examines Africa's AIDS crisis and activists' battle with pharmaceutical companies to make life-saving HIV drugs more affordable.
s2175,Movie,Firebrand,"February 22, 2019",2019,TV-MA,117 min,"While she successfully advocates for her female clients in difficult divorce cases, a lawyer’s trauma from sexual assault impacts her own marriage."
s2176,Movie,Fireflies,"April 24, 2019",2013,TV-MA,99 min,"Grappling with love and loss in their respective lives, two estranged brothers must confront their traumatic, unresolved past when they cross paths."
s2195,Movie,Fitoor,"August 2, 2018",2016,TV-14,124 min,A young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts.
s2201,Movie,Fiza,"August 2, 2018",2000,TV-14,163 min,"Fiza's brother disappears during Mumbai's horrifying 1993 riots. Each day, Fiza and her widowed mother hope that he will return."
s2225,Movie,For Here or to Go?,"August 15, 2018",2015,TV-MA,105 min,A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.
s2235,Movie,Force 2,"February 27, 2017",2016,TV-14,123 min,"An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest."
s2237,Movie,Forensic,"June 7, 2020",2020,TV-14,132 min,"A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls."
s2291,Movie,Friendship,"April 1, 2020",1980,TV-14,161 min,"Best friends since childhood, a righteous cop and a lawyer who represents criminals in court become rivals when they fall for the same woman."
s2306,Movie,Fukrey,"December 15, 2019",2013,TV-14,135 min,Four young male friends tackle the challenges and unexpected catastrophes of growing up clueless in this music-packed Bollywood teen drama.
s2308,Movie,Fukrey Boyzzz: Space Mein Fukrapanti,"November 13, 2020",2020,TV-Y7,75 min,"After a foreboding dream about aliens comes true, a fun-loving trio must prevent human intelligence from being stolen from planet Earth."
s2327,Movie,Gabbar Is Back,"July 5, 2020",2015,TV-14,128 min,"After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public."
s2335,Movie,Gaddar: the Traitor,"November 1, 2018",2015,TV-14,126 min,An Indian man who has become a major business mogul in Canada must return to his homeland where he's reviled due to being wrongly branded a traitor.
s2340,Movie,Game,"December 15, 2019",2011,TV-14,135 min,"A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit."
s2344,Movie,Game Over (Tamil Version),"August 21, 2019",2019,TV-MA,98 min,"As a series of murders hit close to home, a video game designer with post-traumatic stress must confront her demons, or risk becoming their victim."
s2350,Movie,Gangaajal,"January 8, 2021",2003,TV-MA,148 min,"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians."
s2354,Movie,Garbage,"September 1, 2018",2018,TV-MA,109 min,The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller.
s2367,Movie,Gelo,"December 15, 2017",2016,TV-MA,118 min,A Punjabi woman who works on a farm must endure the difficulties of living in an oppressive class-based society and a dysfunctional community.
s2368,Movie,Gemini,"July 1, 2018",2018,TV-PG,130 min,"Despite growing up with traits that set her apart from her peers, a young adopted girl discovers her gift when she takes an interest in spelling bees."
s2373,Movie,Genius,"February 17, 2019",2018,TV-14,96 min,Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal man’s adult life.
s2393,Movie,Ghanchakkar,"November 1, 2018",2013,TV-MA,129 min,"Former con artist Sanju surrounds himself with the finer things, a blissful life troubled by only one thing: his wife, who wants even more."
s2394,Movie,Ghayal,"December 31, 2019",1990,TV-14,163 min,"Framed for his older brother's murder, a boxer seeks violent revenge against the true killer who's torn his family apart."
s2401,Movie,Ghost Stories,"January 1, 2020",2020,TV-MA,145 min,"The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers."
s2407,TV Show,GHOUL,"August 24, 2018",2018,TV-MA,1 Season,"When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival."
s2408,Movie,Ghulam-E-Musthafa,"December 31, 2019",1997,TV-MA,161 min,"Giving up his life of crime for love, a gangster struggles with a moral dilemma when tragic events and enduring enemies take him back to the underworld."
s2419,Movie,Ginny Weds Sunny,"October 9, 2020",2020,TV-MA,126 min,"Eager to marry but constantly rejected by women, a bachelor hopes to win over a former crush by accepting help from an unlikely source: her mother."
s2464,Movie,Gol Maal,"December 31, 2019",1979,TV-PG,137 min,"When circumstances at work compel Ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry Ram’s fictitious brother."
s2470,Movie,Gollu Aur Pappu,"July 5, 2020",2014,TV-14,112 min,"Hapless brothers Gollu and Pappu stumble into a terrorist plot and end up being ordered to detonate a bomb, a task they are destined to bungle."
s2471,Movie,Golmaal Returns,"September 28, 2020",2008,TV-MA,135 min,A man's relationship with his jealous wife enters choppy waters after he has to spend a night on a yacht with a woman he's rescued from gangsters.
s2472,Movie,Golmaal: Fun Unlimited,"December 31, 2019",2006,TV-14,148 min,"Between thwarting crooks and wooing the belle next door, four pranksters get in over their heads when they bamboozle their way into a couple’s bungalow."
s2501,Movie,Gori Tere Pyaar Mein,"April 1, 2020",2013,TV-14,144 min,"Sriram is concerned only with spending money, until he meets Dia, a principled activist. Now he's determined to prove himself worthy of her affection."
s2507,Movie,Gour Hari Dastaan: The Freedom File,"October 15, 2017",2015,TV-14,109 min,A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement.
s2516,Movie,Grand Masti,"March 1, 2018",2013,TV-MA,93 min,"Leaving their wives at home, three randy friends look forward to some raunchy extramarital fun at their college reunion."
s2518,Movie,Grandmaster,"November 1, 2018",2012,TV-14,133 min,"Anticipating the next move in a serial killer's grisly game, a police chief realizes that his daughter and estranged wife are the next likely victims."
s2550,Movie,Guilty,"March 6, 2020",2020,TV-MA,120 min,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth."
s2551,Movie,Gumrah,"April 1, 2020",1993,TV-14,149 min,"Jailed for drug trafficking while searching for the dad she's never met, a singer gets unlikely support from a crook whose love she has long rejected."
s2554,Movie,Guna 369,"November 15, 2019",2019,TV-MA,143 min,A pampered but kind-hearted average joe ditches his romancing and peacekeeping ways when he’s framed for a murder he didn’t commit.
s2555,Movie,Gunjan Saxena: The Kargil Girl,"August 12, 2020",2020,TV-14,113 min,Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India’s first female combat pilot in the Kargil War.
s2557,Movie,Gurgaon,"May 1, 2018",2017,TV-14,106 min,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
s2559,Movie,Guru,"March 1, 2018",2007,TV-PG,155 min,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.
s2562,Movie,Guzaarish,"August 2, 2018",2010,TV-14,121 min,"After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die."
s2571,Movie,Haani,"October 1, 2018",2013,TV-14,137 min,"When a man discovers that he can communicate with his grandfather's spirit, it leads to two love stories intertwining 50 years apart."
s2576,Movie,Haider,"August 2, 2018",2014,TV-MA,154 min,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.
s2584,Movie,Half Girlfriend,"January 2, 2020",2017,TV-14,129 min,"Small-town Madhav falls for big-city Riya and wants her to be his girlfriend. But she views their relationship differently, and suggests a compromise."
s2585,Movie,Halkaa,"November 15, 2018",2018,TV-14,111 min,"Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet."
s2589,Movie,Hamara Dil Aapke Paas Hai,"March 1, 2018",2000,TV-14,158 min,"Love blooms when kind-hearted Avinash takes in Preeti, a woman shunned by society, but the unorthodox living situation creates quite a stir among the neighbors."
s2591,Movie,Hamid,"May 15, 2019",2018,TV-MA,108 min,"Wanting his missing father to come home, a Kashmiri boy repeatedly attempts to call God for help – until one day, a hardened army officer picks up."
s2611,Movie,Happy Go Lucky,"October 1, 2018",2014,TV-14,129 min,"Three sisters seem to be ideal brides for three brothers. But when the girls' father won't allow the marriages, the boys use trickery to pull it off."
s2614,Movie,Happy New Year,"February 1, 2017",2014,TV-14,179 min,A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.
s2620,Movie,Har Kisse Ke Hisse: Kaamyaab,"May 2, 2020",2020,TV-14,105 min,"After a career of thankless credits, a retired actor returns for a long-awaited leading role but finds he is utterly unprepared for new-age filmmaking."
s2621,Movie,Haraamkhor,"February 1, 2017",2015,TV-14,93 min,"A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires."
s2628,Movie,Harishchandrachi Factory,"October 1, 2018",2009,TV-PG,99 min,"Against a backdrop of burgeoning social unrest, a neophyte filmmaker makes history in 1913 as the director of India's first feature-length film."
s2640,Movie,Harud,"October 1, 2016",2010,TV-MA,100 min,"A young Kashmiri man sets out to escape to Pakistan and make sense of his brother's death, but he drifts aimlessly until finding his brother's camera."
s2643,Movie,Hasee Toh Phasee,"April 1, 2020",2014,TV-14,135 min,"Nikhil is tasked with keeping his fiancée's troublemaking sister, Meeta, from ruining his wedding. But in the process, the two become inseparable."
s2644,Movie,Haseena Maan Jaayegi,"March 1, 2018",1999,TV-PG,151 min,"A millionaire opens the door to comic complications when he punishes his spoiled sons for trying to make money through shady, get-rich-quick schemes."
s2651,Movie,Hattrick,"November 1, 2018",2007,TV-14,109 min,Stories of personal victories coincide with Team India's battle for the Cricket World Cup in this engaging ensemble drama.
s2661,Movie,Hawaizaada,"November 19, 2020",2015,TV-14,129 min,"In 1895 Mumbai, spirited Indian lad Shiv Talpade defies British rule and sparse funding – and physics – to build the world's first airplane."
s2664,Movie,Hazaaron Khwaishein Aisi,"April 15, 2019",2003,TV-MA,111 min,"In a politically charged India of the 1970s, three friends are transformed by personal ideologies, dangerous ambitions and matters of the heart."
s2693,Movie,Hello Brother,"January 4, 2021",1999,TV-14,126 min,"After receiving a heart transplant from a murdered man, a cop is followed around by the victim’s ghost, who won’t rest until his death has been avenged."
s2704,Movie,Hera Pheri,"December 31, 2019",1976,TV-14,156 min,The bond between two crooks and best friends is threatened when one learns that the other's father had a hand in his own tragic past.
s2712,Movie,Heroine,"November 1, 2018",2012,TV-MA,143 min,One woman experiences the dramatic highs and lows of fame in this voyeuristic glimpse past the glitz and glamour of a Bollywood superstar's life.
s2722,Movie,Hide & Seek,"March 1, 2018",2010,TV-14,96 min,"Years after an accident at a wild Christmas party traumatized them all, six former friends find themselves trapped in a shopping mall and forced by a killer disguised as Santa Claus to play a lethal game of hide-and-seek."
s2729,Movie,High End Yaariyan,"December 1, 2019",2019,TV-14,120 min,"From romantic pursuits to their friendship, a trio of young men navigate the complexities of relationships while sharing a London apartment."
s2738,Movie,Highway,"August 2, 2018",2014,TV-14,127 min,"City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated."
s2744,Movie,Himmatwala,"November 1, 2018",2013,TV-14,140 min,A young man returns to his native village on a mission of vengeance after his father commits suicide in the wake of false accusations.
s2749,Movie,Hisss,"December 1, 2017",2010,TV-MA,97 min,"In a plot to bait the snake-goddess Nagin for her immortality-granting essence, George States journeys to India and abducts her reptilian lover."
s2753,Movie,History of Joy,"August 1, 2018",2017,TV-14,118 min,The life of a high-flying law student takes a drastic turn when a bout of misfortune changes his status in society for good.
s2785,Movie,Hombanna,"May 1, 2018",2017,TV-14,126 min,"In the forests of Karnataka, a farmer and his community face eviction from the land when they get caught in the currents of socio-political change."
s2796,Movie,Honeymoon Travels Pvt. Ltd.,"December 15, 2019",2007,TV-14,119 min,This offbeat comedy-drama follows six quirky newlywed couples as they set off on a bus from Mumbai to Goa on their honeymoons.
s2803,Movie,Hope Aur Hum,"September 1, 2018",2018,TV-14,95 min,"A multigenerational household navigates daily life, evolving relationships and clashes between old and new mindsets in this light family drama."
s2812,Movie,Horror Story,"April 12, 2019",2013,TV-14,85 min,"On a dare, seven college friends spend a night at an abandoned hotel rumored to be haunted and find themselves trapped in a nightmare."
s2831,Movie,House Arrest,"November 15, 2019",2019,TV-14,105 min,A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.
s2855,Movie,Hridaynath,"January 1, 2018",2012,TV-14,103 min,A schoolteacher known for his good deeds and benevolence takes a walk on the dark side after undergoing a heart transplant.
s2860,Movie,Hum Aapke Hain Koun,"February 1, 2020",1994,TV-14,193 min,"Although Nisha falls for Prem, she agrees to marry his older brother for the good of their families. But fate may have other plans for the lovebirds."
s2861,Movie,Hum Saath-Saath Hain,"January 1, 2018",1999,TV-G,176 min,"A scheming matriarch plots to cut off her disabled stepson and his wife from the family fortune, creating a division within the clan."
s2863,Movie,Humko Deewana Kar Gaye,"October 22, 2017",2006,TV-PG,149 min,Two kindred spirits who are betrothed to others must decide whether to go through with arranged marriages or brush aside convention for true love.
s2864,Movie,Humpty Sharma Ki Dulhania,"April 1, 2020",2014,TV-14,131 min,A small-town girl heads to Delhi to find a designer outfit for the wedding her orthodox father has arranged for her but ends up finding love instead.
s2872,Movie,Hunterrr,"October 12, 2020",2015,TV-MA,140 min,A sex-obsessed young man tries to put his past behind him when he falls for an extraordinary woman who makes him want to change his lifestyle.
s2877,Movie,Husbands in Goa,"November 1, 2018",2012,TV-14,150 min,"Three professional friends, all husbands living with domineering wives, take a well-deserved vacation in the resort city of Goa."
s2886,Movie,I Am,"March 4, 2019",2010,TV-MA,106 min,"Four individuals in modern India grapple with their identities amid social taboos, trauma and brutal sexual discrimination in this quartet of stories."
s2893,Movie,I Am Kalam,"July 1, 2018",2010,TV-PG,87 min,An intelligent boy born into poverty befriends the son of a once noble family and is inspired by the life of India's president to pursue an education.
s2913,Movie,I Hate Luv Storys,"August 2, 2018",2010,TV-14,128 min,This Bollywood spoof recounts the ups and downs of an assistant film director who loathes romance and a designer who adores all things sentimental.
s2938,Movie,Ideachi Kalpana,"January 1, 2018",2010,TV-14,124 min,"After an actor is hit by a car driven by the police commissioner's sister, his scheming brother-in-law files a bogus suit against the commissioner."
s2944,Movie,III Smoking Barrels,"June 1, 2019",2017,TV-MA,128 min,"In three stories set in Northeast India, a child goes on the run, a young adult falls in with the wrong crowd and a desperate man turns to crime."
s2952,Movie,Imago,"March 20, 2019",2018,TV-PG,97 min,"A teen with vitiligo struggles with self-doubt and anxiety until a new schoolteacher sees her through a different lens, and urges her to do the same."
s2983,Movie,Incomplete,"April 8, 2017",2017,TV-MA,119 min,"A man returns to his childhood hometown, where he meets the happily married woman he once jilted, while his best friend endures a more volatile union."
s2987,Movie,INDIA,"February 17, 2017",2014,NR,95 min,"A man buys a young girl, code-names her ""Doll"" and sends her to live with a mother of two who has a mysterious mission to be fulfilled."
s3006,Movie,Inkaar,"July 5, 2020",2013,TV-MA,125 min,"An ad agency CEO is put under investigation when his ambitious protégée – and lover – accuses him of sexual harassment, vying for his top position."
s3010,Movie,Insan,"March 1, 2018",2005,TV-14,141 min,"A grieving policeman and a rickshaw driver are brought together by a dark, tragic secret that will change their lives forever."
s3028,Movie,Interrogation,"December 1, 2016",2015,TV-MA,116 min,"In this fact-based drama, politically motivated cops in Andhra Pradesh set out to frame four Tamil laborers for a crime, torturing them to no avail."
s3052,Movie,Iqbal,"March 1, 2018",2006,TV-Y7,127 min,A boy with a hearing and speech impairment – and extraordinary athletic ability – chases his lifelong dream of playing cricket for India.
s3053,Movie,Irada Pakka,"March 15, 2018",2010,TV-14,137 min,"Bored in their happy marriage, a couple decides to spice things up by fighting more, but their game takes the relationship on an unexpected path."
s3063,Movie,Is Love Enough? Sir,"January 8, 2021",2018,TV-MA,99 min,"A young widow is hired as the domestic helper for a wealthy architect, but social divides come to the fore as an unlikely attraction grows between them."
s3065,Movie,Ishq Vishk,"September 28, 2020",2003,TV-PG,129 min,"When the duplicitous Rajiv expresses his love for Payal, a cruel lie kicks off a story of self-discovery and unexpected romance."
s3066,Movie,Ishqedarriyaan,"March 1, 2018",2015,TV-14,130 min,A young millionaire is willing to do anything to make the schoolteacher he loves happy. Even if it means helping her marry someone else.
s3067,Movie,Ishqiya,"September 28, 2020",2009,TV-14,115 min,A deceitful woman seduces two of her late husband’s crooked friends into helping her hatch a nefarious kidnapping plot for a hefty ransom.
s3073,Movie,Issaq,"March 1, 2018",2013,TV-MA,140 min,Two young lovers in Banaras are caught in the crossfire of a feud between their powerful families and a political climate destroying their city.
s3085,Movie,Ittefaq,"April 3, 2018",2017,TV-MA,105 min,"A homemaker and a writer are prime suspects – and the only witnesses – in a double murder, and it’s up to one detective to uncover the elusive truth."
s3092,Movie,Jaal,"December 8, 2017",1986,TV-14,162 min,"When a mysterious woman hires Shankar to spy on a family, he must determine how his own father's abandonment figures into the situation."
s3093,Movie,Jaan-E-Mann: Let's Fall in Love... Again,"December 31, 2019",2006,TV-14,163 min,"To avoid alimony payments, an aspiring actor schemes for his ex-wife to marry an unlikely suitor, but soon realizes he may not be ready to lose her."
s3094,Movie,Jaane Tu... Ya Jaane Na,"January 10, 2021",2008,TV-14,147 min,Soft-spoken Jai and spitfire beauty Aditi couldn't be more different – but their family and friends know that they're a perfect match.
s3095,Movie,Jab Harry Met Sejal,"December 2, 2017",2017,TV-MA,142 min,A philandering tour guide in Europe begins to develop feelings for one of his clients while helping her search for her lost engagement ring.
s3096,Movie,Jab We Met,"September 28, 2020",2007,TV-14,143 min,Changing fortunes await a wealthy but dejected industrialist when he meets a spirited chatterbox on a train in this breezy Bollywood romantic comedy.
s3108,Movie,Jada,"February 7, 2020",2019,TV-14,124 min,"Wishing to settle an old score, a promising soccer player defies his coach’s wishes and leads his team to participate in a violent form of the sport."
s3111,Movie,Jagga Jasoos,"October 1, 2018",2017,TV-14,155 min,"An eccentric, self-proclaimed detective goes on an action-packed hunt for his missing father, with an awkward but adventurous journalist by his side."
s3112,Movie,Jai Mummy Di,"March 14, 2020",2020,TV-MA,101 min,"Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war."
s3113,Movie,Jail,"December 31, 2019",2009,TV-14,132 min,"Incarcerated for a crime he didn’t commit, a young man must navigate the crowded, cut-throat environment of prison as he awaits trial."
s3117,Movie,Jal,"October 15, 2017",2013,TV-14,132 min,A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.
s3118,Movie,Jalpari: The Desert Mermaid,"May 19, 2018",2012,TV-14,94 min,"When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets."
s3120,TV Show,Jamtara - Sabka Number Ayega,"January 10, 2020",2020,TV-MA,1 Season,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme – and a cop wants to fight it."
s3125,Movie,Jaoon Kahan Bata Ae Dil,"August 9, 2019",2018,TV-MA,107 min,"A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams."
s3129,Movie,Jatt James Bond,"October 1, 2018",2014,TV-14,142 min,"Shinda loves Laali but can't have her, so he and his friends come up with an elaborate plan to solve all their problems and win her."
s3130,Movie,Jatts in Golmaal,"November 1, 2018",2013,TV-PG,128 min,"Without fully realizing the consequences, a boy who wants to relocate from India to Canada sells his heart to a gangster in need of a transplant."
s3164,Movie,Jhankaar Beats,"April 15, 2019",2003,TV-14,131 min,"Juggling personal predicaments and workplace woes, three buddies and bandmates practice for their ultimate dream: winning a coveted music competition."
s3182,Movie,Jindua,"December 1, 2019",2017,TV-14,135 min,An Indian man in Canada marries a local citizen to legalize his immigration status. The only problem? His girlfriend isn't thrilled about his new wife.
s3196,Movie,Jodhaa Akbar,"October 1, 2018",2008,TV-14,214 min,"In 16th-century India, what begins as a strategic alliance between a Mughal emperor and a Hindu princess becomes a genuine opportunity for true love."
s3201,Movie,John & Jane,"August 15, 2016",2005,TV-14,79 min,Truth and fiction blend in this quasi-documentary about six exhausted workers at a Mumbai call center servicing U.S. customers.
s3204,Movie,John Day,"December 31, 2019",2013,TV-MA,125 min,"A bank manager and his wife, still grieving over their daughter who died in a fire, become pawns in a bank heist with ties to corruption and fraud."
s3216,Movie,Joker,"August 2, 2018",2012,TV-PG,98 min,A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.
s3217,Movie,Jonaki,"May 16, 2019",2018,TV-MA,96 min,"In this quiet, wistful drama, a woman on her deathbed searches her fraying memories for love and fulfillment through surreal, meditative tableaux."
s3221,Movie,Jora 10 Numbaria,"January 1, 2018",2017,TV-MA,135 min,"The wounds of a traumatic childhood and a corrupt, unjust system push a young man into becoming a cold-blooded, ruthless gangster."
s3233,Movie,Judge Singh LLB,"October 1, 2018",2015,TV-PG,137 min,"Framed by a politician for committing murder, a lower-class boy hires the only counsel he can afford: a lawyer with no courtroom experience."
s3234,Movie,Judwaa,"December 31, 2019",1997,TV-14,133 min,"Separated at birth, a pair of identical twins unexpectedly reunite as adults and embark on a madcap mission to take down a common enemy from their past."
s3235,Movie,Judwaa 2,"March 1, 2018",2017,TV-14,145 min,"Separated at birth, twins Raja and Prem couldn't be more different. But when fate puts them both in London, they start being mistaken for each other."
s3271,Movie,Kaabil,"June 25, 2017",2017,TV-14,139 min,"The happy life of a young blind couple is shattered when the wife is raped and corrupt police won't help, sending the husband on a quest for revenge."
